Date,Rank,Streams,Singer,Song Title,feat,Extras,Christmas
2019-10-31,1,"647,983",Tones And I,Dance Monkey,,,N
2019-10-31,2,"368,593",Regard,Ride It,,,N
2019-10-31,3,"339,038",Post Malone,Circles,,,N
2019-10-31,4,"317,982",Kanye West,Follow God,,,N
2019-10-31,5,"307,398",Selena Gomez,Lose You To Love Me,,,N
2019-10-31,6,"300,322",Ed Sheeran,South Of The Border,Feat. Camila Cabello & Cardi B,,N
2019-10-31,7,"287,873",Lewis Capaldi,Someone You Loved,,,N
2019-10-31,8,"273,820",Travis Scott,Highest In The Room,,,N
2019-10-31,9,"254,068",Maroon 5,Memories,,,N
2019-10-31,10,"248,019",Aitch,Buss Down,Feat. Ziezie,,N
2019-10-31,11,"241,956",Harry Styles,Lights Up,,,N
2019-10-31,12,"239,119","Jorja Smith, Burna Boy",Be Honest,,,N
2019-10-31,13,"237,630",Joel Corry,Sorry,,,N
2019-10-31,14,"233,208",Aitch,Taste,Make It Shake,,N
2019-10-31,15,"231,622",Blackbear,Hot Girl Bummer,,,N
2019-10-31,16,"226,979",Aj Tracey,Ladbroke Grove,,,N
2019-10-31,17,"218,968",Dermot Kennedy,Outnumbered,,,N
2019-10-31,18,"214,889","Riton, Oliver Heldens",Turn Me On,Feat. Vula,,N
2019-10-31,19,"213,823",Young T Bugsey,Strike A Pose,Feat. Aitch,,N
2019-10-31,20,"206,779",Billie Eilish,Bad Guy,,,N
2019-10-31,21,"206,264","Meduza, Becky Hill, Goodboys",Lose Control,,,N
2019-10-31,22,"203,496",Dave,Professor X,,,N
2019-10-31,23,"202,373",Lizzo,Good As Hell,Feat. Ariana Grande,- Remix,N
2019-10-31,24,"202,333",Dominic Fike,3 Nights,,,N
2019-10-31,25,"199,858","Kygo, Whitney Houston",Higher Love,,,N
2019-10-31,26,"193,504",Lewis Capaldi,Bruises,,,N
2019-10-31,27,"192,977","Bob&Quot;Boris&Quot; Pickett, The Crypt-kickers",Monster Mash,,,N
2019-10-31,28,"189,003",Sam Smith,How Do You Sleep?,,,N
2019-10-31,29,"188,586",Ray Parker Jr.,Ghostbusters,,,N
2019-10-31,30,"183,570","Shawn Mendes, Camila Cabello",Se&Ntilde;Orita,,,N
2019-10-31,31,"181,157",Ed Sheeran,Beautiful People,Feat. Khalid,,N
2019-10-31,32,"180,265",Camila Cabello,Liar,,,N
2019-10-31,33,"178,867",Sam Feldt,Post Malone,Feat. Rani,,N
2019-10-31,34,"174,872",Niall Horan,Nice To Meet Ya,,,N
2019-10-31,35,"170,793",Michael Jackson,Thriller,,,N
2019-10-31,36,"158,124",Lil Tecca,Ransom,,,N
2019-10-31,37,"153,840",Selena Gomez,Look At Her Now,,,N
2019-10-31,38,"153,181",Ti&Euml;Sto,God Is A Dancer,With Mabel,,N
2019-10-31,39,"152,252",Dave,Location,Feat. Burna Boy,,N
2019-10-31,40,"149,984",Lizzo,Truth Hurts,,,N
2019-10-31,41,"149,072",Headie One,Both,,,N
2019-10-31,42,"146,921","Post Malone, Swae Lee",Sunflower - Spider-man: Into The Spider-verse,,,N
2019-10-31,43,"146,806",Aj Tracey,Floss,Feat. Mostack & Not3s,,N
2019-10-31,44,"146,407","Aj Tracey, Skepta",Kiss And Tell,,,N
2019-10-31,45,"143,234",Ed Sheeran,I Don't Care,With Justin Bieber,,N
2019-10-31,46,"142,432",Ed Sheeran,Take Me Back To London,Feat. Stormzy,,N
2019-10-31,47,"142,011",Dan + Shay,"10,000 Hours",With Justin Bieber,,N
2019-10-31,48,"138,350","Lauv, Anne-marie","Fuck, I'm Lonely",,,N
2019-10-31,49,"137,589",Lil Nas X,Panini,,,N
2019-10-31,50,"136,766",Mist,So High,Feat. Fredo,,N
2019-10-31,51,"133,818",Halsey,Graveyard,,,N
2019-10-31,52,"132,718",Rihanna,Disturbia,,,N
2019-10-31,53,"131,622",Stormzy,Vossi Bop,,,N
2019-10-31,54,"128,439",Shaed,Trampoline,With Zayn,,N
2019-10-31,55,"122,938","Lil Nas X, Billy Ray Cyrus",Old Town Road - Remix,,,N
2019-10-31,56,"118,901",Coldplay,Orphans,,,N
2019-10-31,57,"117,078",Jax Jones,This Is Real,Ft. Ella Henderson,,N
2019-10-31,58,"117,004",Ac/Dc,Highway To Hell,,,N
2019-10-31,59,"116,439",Post Malone,Take What You Want,Feat. Ozzy Osbourne & Travis Scott,,N
2019-10-31,60,"114,939",Juice Wrld,Bandit,With Youngboy Never Broke Again,,N
2019-10-31,61,"112,704",Kanye West,Closed On Sunday,,,N
2019-10-31,62,"111,199",Kanye West,Selah,,,N
2019-10-31,63,"109,778",Normani,Motivation,,,N
2019-10-31,64,"109,706",Rockwell,Somebody's Watching Me - Single Version,,,N
2019-10-31,65,"108,725",Ariana Grande,Don't Call Me Angel,Charlie's Angels,(With Miley Cyrus & Lana Del Rey),N
2019-10-31,66,"108,572",Post Malone,Goodbyes,Feat. Young Thug,,N
2019-10-31,67,"107,978",Kanye West,On God,,,N
2019-10-31,68,"106,887",Lewis Capaldi,Hold Me While You Wait,,,N
2019-10-31,69,"106,070",The Citizens Of Halloween,This Is Halloween,,,N
2019-10-31,70,"102,704","Meduza, Goodboys",Piece Of Your Heart,,,N
2019-10-31,71,"101,378","Y2k, Bbno$",Lalala,,,N
2019-10-31,72,"100,357",Chris Brown,No Guidance,Feat. Drake,,N
2019-10-31,73,"100,151","Russ Millions, Tion Wayne, Aitch, Swarmz, Sav'o, Jay1",Keisha & Becky - Remix,,,N
2019-10-31,74,"98,536",Stevie Wonder,Superstition - Single Version,,,N
2019-10-31,75,"95,392","French Montana, Rvssian",Writing On The Wall,Feat. Post Malone & Cardi B,,N
2019-10-31,76,"94,337","Kanye West, Ty Dolla $Ign, Ant Clemons",Everything We Need,,,N
2019-10-31,77,"94,295",Lizzo,Good As Hell,,,N
2019-10-31,78,"93,560","Kanye West, Clipse, Kenny G",Use This Gospel,,,N
2019-10-31,79,"92,392","Dave, Aj Tracey",Thiago Silva,,,N
2019-10-31,80,"90,652","Major Lazer, Khalid, Death Stranding: Timefall, Diplo",Trigger,,,N
2019-10-31,81,"88,869",D-block Europe,Home P*Ssy,,,N
2019-10-31,82,"88,756",Poundz,Opp Thot,,,N
2019-10-31,83,"88,257",Summer Walker,Playing Games,With Bryson Tiller,- Extended Version,N
2019-10-31,84,"86,883",The Killers,Mr. Brightside,,,N
2019-10-31,85,"86,232",Nsg,Trust Issues,,,N
2019-10-31,86,"85,944",The Cranberries,Zombie,,,N
2019-10-31,87,"83,685",Drake,Money In The Grave,Drake Ft. Rick Ross,,N
2019-10-31,88,"83,138",Ariana Grande,"Thank U, Next",,,N
2019-10-31,89,"82,958",Endor,Pump It Up,,,N
2019-10-31,90,"81,039","Nsg, Tion Wayne",Options,,,N
2019-10-31,91,"80,826",Travis Scott,Sicko Mode,,,N
2019-10-31,92,"78,636",Steel Banglez,Fashion Week,Feat. Aj Tracey & Mostack,,N
2019-10-31,93,"77,974",Zedd,Good Thing,With Kehlani,,N
2019-10-31,94,"77,752","Dave, Fredo",Funky Friday,,,N
2019-10-31,95,"77,436",Michael Jackson,Thriller - 2003 Edit,,,N
2019-10-31,96,"77,300",Katy Perry,Harleys In Hawaii,,,N
2019-10-31,97,"77,058",Arizona Zervas,Roxanne,,,N
2019-10-31,98,"76,809","Little Nell, Patricia Quinn, Richard O'brien",Time Warp,,,N
2019-10-31,99,"76,671",Stormzy,Wiley Flow,,,N
2019-10-31,100,"76,296","Lady Gaga, Bradley Cooper",Shallow,,,N
2019-10-31,101,"75,265",Jonas Brothers,Sucker,,,N
2019-10-31,102,"74,385","Sigala, Becky Hill",Wish You Well,,,N
2019-10-31,103,"74,129","Kanye West, Sunday Service Choir",Every Hour,,,N
2019-10-31,104,"73,966",Ava Max,Sweet But Psycho,,,N
2019-10-31,105,"73,132",Kanye West,God Is,,,N
2019-10-31,106,"72,892",Mabel,Mad Love,,,N
2019-10-31,107,"72,524",Raye,Love Me Again,With Jess Glynne,,N
2019-10-31,108,"72,222",Blue &Ouml;Yster Cult,,Don't Fear,The Reaper,N
2019-10-31,109,"72,053",Bts,Make It Right,Feat. Lauv,,N
2019-10-31,110,"71,790","Kanye West, Ant Clemons",Water,,,N
2019-10-31,111,"71,273","Krept Konan, Wizkid",G Love,,,N
2019-10-31,112,"70,932",Billie Eilish,Bury A Friend,,,N
2019-10-31,113,"70,864",Post Malone,Wow.,,,N
2019-10-31,114,"70,850",George Ezra,Shotgun,,,N
2019-10-31,115,"70,515",Ynw Melly,223's,Feat. 9lokknine,,N
2019-10-31,116,"70,241",Dead Or Alive,You Spin Me Round,Like A Record,,N
2019-10-31,117,"69,472","Diplo, Jonas Brothers",Lonely,,,N
2019-10-31,118,"69,025",Lewis Capaldi,Grace,,,N
2019-10-31,119,"67,594",Queen,Bohemian Rhapsody - Remastered 2011,,,N
2019-10-31,120,"67,061",Shakira,She Wolf,,,N
2019-10-31,121,"66,818",Young Thug,The London,Feat. J. Cole & Travis Scott,,N
2019-10-31,122,"66,631",Macklemore Ryan Lewis,Can't Hold Us - Feat. Ray Dalton,,,N
2019-10-31,123,"66,438",Duran Duran,Hungry Like The Wolf - 2009 Remaster,,,N
2019-10-31,124,"66,394",Mabel,Don't Call Me Up,,,N
2019-10-31,125,"66,017",Ariana Grande,Boyfriend,With Social House,,N
2019-10-31,126,"65,441",Khalid,Talk,Feat. Disclosure,,N
2019-10-31,127,"65,383","Hardy Caprio, Digdat",Guten Tag,,,N
2019-10-31,128,"65,345",Benny Blanco,Eastside,With Halsey & Khalid,,N
2019-10-31,129,"65,242","Sidhu Moose Wala, Mist, Steel Banglez",47,Feat. Stefflon Don,,N
2019-10-31,130,"65,143",Sam Smith,Dancing With A Stranger,With Normani,,N
2019-10-31,131,"64,903","D-block Europe, Lil Baby",Nookie,,,N
2019-10-31,132,"64,537",Post Malone,Saint-tropez,,,N
2019-10-31,133,"64,346",Aj Tracey,Butterflies,Feat. Not3s,,N
2019-10-31,134,"64,114","Marshmello, Bastille",Happier,,,N
2019-10-31,135,"64,028","Kanye West, Fred Hammond",Hands On,,,N
2019-10-31,136,"63,778",Summer Walker,Come Thru,With Usher,,N
2019-10-31,137,"63,686",Ed Sheeran,Cross Me,Feat. Chance The Rapper & Pnb Rock,,N
2019-10-31,138,"63,566",Lil Tecca,Love Me,,,N
2019-10-31,139,"63,366",Calvin Harris,One Kiss,With Dua Lipa,,N
2019-10-31,140,"63,227","Earth, Wind Fire",September,,,N
2019-10-31,141,"63,218",Ariana Grande,7 Rings,,,N
2019-10-31,142,"63,200",Freya Ridings,Castles,,,N
2019-10-31,143,"62,697",Drake,Behind Barz - Bonus,,,N
2019-10-31,144,"62,238",Post Malone,Hollywood's Bleeding,,,N
2019-10-31,145,"62,008",Ellie Goulding,Hate Me,With Juice Wrld,,N
2019-10-31,146,"61,821",Drake,In My Feelings,,,N
2019-10-31,147,"61,730",The 1975,Frail State Of Mind,,,N
2019-10-31,148,"61,385","Internet Money, Lil Tecca, A Boogie Wit Da Hoodie",Somebody,,,N
2019-10-31,149,"61,140",Oasis,Wonderwall - Remastered,,,N
2019-10-31,150,"60,770",Jax Jones,Harder,With Bebe Rexha,,N
2019-10-31,151,"60,600",Lil Tjay,F.N,,,N
2019-10-31,152,"60,357",D-block Europe,Outside,,,N
2019-10-31,153,"59,957",Jay1,Mocking It,,,N
2019-10-31,154,"59,380",Rex Orange County,10/10,,,N
2019-10-31,155,"58,824",Juice Wrld,Lucid Dreams,,,N
2019-10-31,156,"58,458","The Weeknd, Daft Punk",Starboy,,,N
2019-10-31,157,"58,010",Post Malone,Rockstar,Feat. 21 Savage,,N
2019-10-31,158,"57,788",Tion Wayne,2 On 2 - Tion Wayne X Jay1,,,N
2019-10-31,159,"57,725",Jay1,4am In Coventry,,,N
2019-10-31,160,"57,671",Queen,Don't Stop Me Now - Remastered 2011,,,N
2019-10-31,161,"57,664",Billie Eilish,When The Party's Over,,,N
2019-10-31,162,"57,465",Dave,Disaster,Feat. J Hus,,N
2019-10-31,163,"57,408",James Arthur,Say You Won't Let Go,,,N
2019-10-31,164,"57,073",Bob&Quot;Boris&Quot; Pickett,Monster Mash,,,N
2019-10-31,165,"56,971",Dj Jazzy Jeff The Fresh Prince,A Nightmare On My Street,,,N
2019-10-31,166,"56,864",Ed Sheeran,Take Me Back To London,Remix,"[Feat. Stormzy, Jaykae & Aitch]",N
2019-10-31,167,"56,811",The Rolling Stones,Sympathy For The Devil,,,N
2019-10-31,168,"56,686","The Chainsmokers, Illenium",Takeaway,Feat. Lennon Stella,,N
2019-10-31,169,"56,569",Little Mix,Black Magic,,,N
2019-10-31,170,"56,419",Mahalia,Simmer,Feat. Burna Boy,,N
2019-10-31,171,"56,176","Cadet, Deno",Advice,,,N
2019-10-31,172,"56,067",Anne-marie,2002,,,N
2019-10-31,173,"55,484",The Script,The Last Time,,,N
2019-10-31,174,"55,460",D-block Europe,Kitchen Kings,,,N
2019-10-31,175,"55,349",Backstreet Boys,Everybody,Backstreet's Back,- Radio Edit,N
2019-10-31,176,"55,213",Ali Gatie,It's You,,,N
2019-10-31,177,"55,021","Solardo, Eli Brown",Xtc,,,N
2019-10-31,178,"54,816",Young Thug,Hot,Feat. Gunna,,N
2019-10-31,179,"54,564","D-block Europe, Dave",Playing For Keeps,,,N
2019-10-31,180,"54,401",Shawn Mendes,If I Can't Have You,,,N
2019-10-31,181,"54,339",Billie Eilish,Lovely,With Khalid,,N
2019-10-31,182,"54,336",Panic! At The Disco,High Hopes,,,N
2019-10-31,183,"54,193",Katy Perry,Never Really Over,,,N
2019-10-31,184,"53,999",Lizzo,Juice,,,N
2019-10-31,185,"53,982",Tame Impala,The Less I Know The Better,,,N
2019-10-31,186,"53,920",A Boogie Wit Da Hoodie,Swervin,Feat. 6ix9ine,,N
2019-10-31,187,"53,802",Rex Orange County,Face To Face,,,N
2019-10-31,188,"53,800","Drake, Wizkid, Kyla",One Dance,,,N
2019-10-31,189,"53,674",Taylor Swift,You Need To Calm Down,,,N
2019-10-31,190,"53,663",Post Malone,Better Now,,,N
2019-10-31,191,"53,466",Ofb,Ambush,,,N
2019-10-31,192,"53,380",Camila Cabello,Easy,,,N
2019-10-31,193,"53,190","Jax Jones, Martin Solveig, Madison Beer, Europa",All Day And Night,,,N
2019-10-31,194,"52,902",Toploader,Dancing In The Moonlight,,,N
2019-10-31,195,"52,590","Hardy Caprio, One Acen",Best Life,,,N
2019-10-31,196,"52,502",Jonas Blue,What I Like About You,Feat. Theresa Rex,,N
2019-10-31,197,"52,480",Billie Eilish,You Should See Me In A Crown,,,N
2019-10-31,198,"52,429",Vance Joy,Riptide,,,N
2019-10-31,199,"52,386",Camila Cabello,Havana,Feat. Young Thug,,N
2019-10-31,200,"52,162",Toto,Africa,,,N
2019-11-01,1,"654,259",Tones And I,Dance Monkey,,,N
2019-11-01,2,"383,548",Regard,Ride It,,,N
2019-11-01,3,"348,608",Dua Lipa,Don't Start Now,,,N
2019-11-01,4,"333,488",Post Malone,Circles,,,N
2019-11-01,5,"297,429",Ed Sheeran,South Of The Border,Feat. Camila Cabello & Cardi B,,N
2019-11-01,6,"289,834",Kanye West,Follow God,,,N
2019-11-01,7,"278,999",Lewis Capaldi,Someone You Loved,,,N
2019-11-01,8,"276,859",Selena Gomez,Lose You To Love Me,,,N
2019-11-01,9,"266,952",Travis Scott,Highest In The Room,,,N
2019-11-01,10,"246,987",Aitch,Buss Down,Feat. Ziezie,,N
2019-11-01,11,"245,953",Joel Corry,Sorry,,,N
2019-11-01,12,"242,123",Harry Styles,Lights Up,,,N
2019-11-01,13,"239,053",Maroon 5,Memories,,,N
2019-11-01,14,"236,184","Riton, Oliver Heldens",Turn Me On,Feat. Vula,,N
2019-11-01,15,"232,585",Aitch,Taste,Make It Shake,,N
2019-11-01,16,"226,747","Jorja Smith, Burna Boy",Be Honest,,,N
2019-11-01,17,"225,162",Aj Tracey,Ladbroke Grove,,,N
2019-11-01,18,"222,227",Dermot Kennedy,Outnumbered,,,N
2019-11-01,19,"221,376","Meduza, Becky Hill, Goodboys",Lose Control,,,N
2019-11-01,20,"218,383",Blackbear,Hot Girl Bummer,,,N
2019-11-01,21,"217,281","Kygo, Whitney Houston",Higher Love,,,N
2019-11-01,22,"212,846",Young T Bugsey,Strike A Pose,Feat. Aitch,,N
2019-11-01,23,"209,088",Dave,Professor X,,,N
2019-11-01,24,"208,660",Dominic Fike,3 Nights,,,N
2019-11-01,25,"194,434",Lewis Capaldi,Bruises,,,N
2019-11-01,26,"189,990","Krept Konan, D-block Europe, Ling Hussle",Tell Me,,,N
2019-11-01,27,"186,531",Sam Feldt,Post Malone,Feat. Rani,,N
2019-11-01,28,"182,998",Ed Sheeran,Beautiful People,Feat. Khalid,,N
2019-11-01,29,"182,076",Lizzo,Good As Hell,Feat. Ariana Grande,- Remix,N
2019-11-01,30,"179,844",Sam Smith,How Do You Sleep?,,,N
2019-11-01,31,"176,659","Aj Tracey, Skepta",Kiss And Tell,,,N
2019-11-01,32,"173,945","Shawn Mendes, Camila Cabello",Se&Ntilde;Orita,,,N
2019-11-01,33,"169,220",Camila Cabello,Liar,,,N
2019-11-01,34,"165,674",Niall Horan,Nice To Meet Ya,,,N
2019-11-01,35,"160,296",Lil Tecca,Ransom,,,N
2019-11-01,36,"159,289",Billie Eilish,Bad Guy,,,N
2019-11-01,37,"157,923",Ti&Euml;Sto,God Is A Dancer,With Mabel,,N
2019-11-01,38,"153,791",Ed Sheeran,I Don't Care,With Justin Bieber,,N
2019-11-01,39,"153,496",Dave,Location,Feat. Burna Boy,,N
2019-11-01,40,"152,777",Headie One,Both,,,N
2019-11-01,41,"148,661",Ed Sheeran,Take Me Back To London,Feat. Stormzy,,N
2019-11-01,42,"145,785","Lauv, Anne-marie","Fuck, I'm Lonely",,,N
2019-11-01,43,"144,937",Ariana Grande,Bad To You,With Normani & Nicki Minaj,,N
2019-11-01,44,"138,732",Lil Nas X,Panini,,,N
2019-11-01,45,"137,180",Aj Tracey,Floss,Feat. Mostack & Not3s,,N
2019-11-01,46,"134,503",Mist,So High,Feat. Fredo,,N
2019-11-01,47,"133,535",Selena Gomez,Look At Her Now,,,N
2019-11-01,48,"133,194",Dan + Shay,"10,000 Hours",With Justin Bieber,,N
2019-11-01,49,"128,955",Stormzy,Vossi Bop,,,N
2019-11-01,50,"126,822","M Huncho, Nafe Smallz",Thumb,,,N
2019-11-01,51,"126,690",Halsey,Graveyard,,,N
2019-11-01,52,"124,375",Jax Jones,This Is Real,Ft. Ella Henderson,,N
2019-11-01,53,"122,277","Post Malone, Swae Lee",Sunflower - Spider-man: Into The Spider-verse,,,N
2019-11-01,54,"121,626",Lizzo,Truth Hurts,,,N
2019-11-01,55,"118,479","Krept Konan, Wizkid",G Love,,,N
2019-11-01,56,"114,810",Coldplay,Orphans,,,N
2019-11-01,57,"113,369",Juice Wrld,Bandit,With Youngboy Never Broke Again,,N
2019-11-01,58,"110,619",Lewis Capaldi,Hold Me While You Wait,,,N
2019-11-01,59,"110,131",Ariana Grande,Don't Call Me Angel,Charlie's Angels,(With Miley Cyrus & Lana Del Rey),N
2019-11-01,60,"107,734",Post Malone,Goodbyes,Feat. Young Thug,,N
2019-11-01,61,"105,296","Meduza, Goodboys",Piece Of Your Heart,,,N
2019-11-01,62,"105,080","Sigala, Ella Henderson",We Got Love,,,N
2019-11-01,63,"104,912",Normani,Motivation,,,N
2019-11-01,64,"103,754",Post Malone,Take What You Want,Feat. Ozzy Osbourne & Travis Scott,,N
2019-11-01,65,"102,481","Y2k, Bbno$",Lalala,,,N
2019-11-01,66,"102,268",Shaed,Trampoline,With Zayn,,N
2019-11-01,67,"98,301",Chris Brown,No Guidance,Feat. Drake,,N
2019-11-01,68,"98,197","Russ Millions, Tion Wayne, Aitch, Swarmz, Sav'o, Jay1",Keisha & Becky - Remix,,,N
2019-11-01,69,"95,790",Poundz,Opp Thot,,,N
2019-11-01,70,"95,678","Lil Nas X, Billy Ray Cyrus",Old Town Road - Remix,,,N
2019-11-01,71,"95,523",Lizzo,Good As Hell,,,N
2019-11-01,72,"94,017",Endor,Pump It Up,,,N
2019-11-01,73,"93,456",The Killers,Mr. Brightside,,,N
2019-11-01,74,"93,174","Dave, Aj Tracey",Thiago Silva,,,N
2019-11-01,75,"92,593","Krept Konan, Stormzy, Cadet",Keep Talking,,,N
2019-11-01,76,"91,411",Kanye West,Closed On Sunday,,,N
2019-11-01,77,"89,011",Summer Walker,Playing Games,With Bryson Tiller,- Extended Version,N
2019-11-01,78,"88,804",Kanye West,Selah,,,N
2019-11-01,79,"86,524",D-block Europe,Home P*Ssy,,,N
2019-11-01,80,"86,205",Kanye West,On God,,,N
2019-11-01,81,"86,020","Krept Konan, Spice, Tory Lanez",First Time,,,N
2019-11-01,82,"83,173",Raye,Love Me Again,With Jess Glynne,,N
2019-11-01,83,"83,109",Krept Konan,Goat Level,,,N
2019-11-01,84,"83,032",Nsg,Trust Issues,,,N
2019-11-01,85,"82,038",Arizona Zervas,Roxanne,,,N
2019-11-01,86,"81,226",George Ezra,Shotgun,,,N
2019-11-01,87,"81,131","Lady Gaga, Bradley Cooper",Shallow,,,N
2019-11-01,88,"80,659",Mariah Carey,All I Want For Christmas Is You,,,Y
2019-11-01,89,"80,233","Sigala, Becky Hill",Wish You Well,,,N
2019-11-01,90,"79,695","Krept Konan, Headie One, K-trap",I Spy,,,N
2019-11-01,91,"78,830",Stormzy,Wiley Flow,,,N
2019-11-01,92,"77,333","Major Lazer, Khalid, Death Stranding: Timefall, Diplo",Trigger,,,N
2019-11-01,93,"77,293","Nsg, Tion Wayne",Options,,,N
2019-11-01,94,"77,113",Drake,Money In The Grave,Drake Ft. Rick Ross,,N
2019-11-01,95,"76,849","Dave, Fredo",Funky Friday,,,N
2019-11-01,96,"76,152",Steel Banglez,Fashion Week,Feat. Aj Tracey & Mostack,,N
2019-11-01,97,"75,114",Ava Max,Sweet But Psycho,,,N
2019-11-01,98,"74,733",Krept Konan,Salaam,,,N
2019-11-01,99,"73,556",Mabel,Mad Love,,,N
2019-11-01,100,"72,565",Queen,Bohemian Rhapsody - Remastered 2011,,,N
2019-11-01,101,"71,985","Kanye West, Ty Dolla $Ign, Ant Clemons",Everything We Need,,,N
2019-11-01,102,"71,935",Freya Ridings,Castles,,,N
2019-11-01,103,"71,764","Kanye West, Clipse, Kenny G",Use This Gospel,,,N
2019-11-01,104,"71,642",Gerry Cinnamon,Dark Days,,,N
2019-11-01,105,"71,479",Mabel,Don't Call Me Up,,,N
2019-11-01,106,"71,385",Lewis Capaldi,Grace,,,N
2019-11-01,107,"71,198",Katy Perry,Harleys In Hawaii,,,N
2019-11-01,108,"70,308",Ynw Melly,223's,Feat. 9lokknine,,N
2019-11-01,109,"69,609",Post Malone,Wow.,,,N
2019-11-01,110,"67,868","Krept Konan, Mostack",Cheating On Wifey,,,N
2019-11-01,111,"67,365",Travis Scott,Sicko Mode,,,N
2019-11-01,112,"67,355","French Montana, Rvssian",Writing On The Wall,Feat. Post Malone & Cardi B,,N
2019-11-01,113,"66,624",Benny Blanco,Eastside,With Halsey & Khalid,,N
2019-11-01,114,"66,477",Jonas Brothers,Sucker,,,N
2019-11-01,115,"66,426",Zedd,Good Thing,With Kehlani,,N
2019-11-01,116,"66,204",Martin Garrix,Used To Love,With Dean Lewis,,N
2019-11-01,117,"66,103",Ariana Grande,Boyfriend,With Social House,,N
2019-11-01,118,"66,018",Lil Tecca,Love Me,,,N
2019-11-01,119,"65,858",Ariana Grande,"Thank U, Next",,,N
2019-11-01,120,"65,634",Oasis,Wonderwall - Remastered,,,N
2019-11-01,121,"65,470","Hardy Caprio, Digdat",Guten Tag,,,N
2019-11-01,122,"65,290",Young Thug,The London,Feat. J. Cole & Travis Scott,,N
2019-11-01,123,"64,999","Marshmello, Bastille",Happier,,,N
2019-11-01,124,"64,476",Ed Sheeran,Cross Me,Feat. Chance The Rapper & Pnb Rock,,N
2019-11-01,125,"63,349",Ariana Grande,7 Rings,,,N
2019-11-01,126,"63,142","D-block Europe, Lil Baby",Nookie,,,N
2019-11-01,127,"63,029",Krept Konan,Revenge Is Sweet,,,N
2019-11-01,128,"62,976",Bts,Make It Right,Feat. Lauv,,N
2019-11-01,129,"62,903",Jax Jones,Harder,With Bebe Rexha,,N
2019-11-01,130,"62,726",Young Thug,Hot,Remix,[Feat. Gunna And Travis Scott],N
2019-11-01,131,"62,637",Aj Tracey,Butterflies,Feat. Not3s,,N
2019-11-01,132,"62,206","Diplo, Jonas Brothers",Lonely,,,N
2019-11-01,133,"61,983",Drake,Behind Barz - Bonus,,,N
2019-11-01,134,"61,784",Fleetwood Mac,Everywhere - 2017 Remaster,,,N
2019-11-01,135,"61,762",Post Malone,Saint-tropez,,,N
2019-11-01,136,"61,630",Lil Tjay,F.N,,,N
2019-11-01,137,"61,347",Ellie Goulding,Hate Me,With Juice Wrld,,N
2019-11-01,138,"61,089",The Script,The Last Time,,,N
2019-11-01,139,"61,077",Anne-marie,2002,,,N
2019-11-01,140,"60,834",Queen,Don't Stop Me Now - Remastered 2011,,,N
2019-11-01,141,"60,692",Haim,Now I'm In It,,,N
2019-11-01,142,"60,619",Kanye West,God Is,,,N
2019-11-01,143,"60,583",Toploader,Dancing In The Moonlight,,,N
2019-11-01,144,"60,348","Sidhu Moose Wala, Mist, Steel Banglez",47,Feat. Stefflon Don,,N
2019-11-01,145,"60,149",Juice Wrld,Lucid Dreams,,,N
2019-11-01,146,"60,055","Internet Money, Lil Tecca, A Boogie Wit Da Hoodie",Somebody,,,N
2019-11-01,147,"59,850",Post Malone,Hollywood's Bleeding,,,N
2019-11-01,148,"59,645",Sam Smith,I Feel Love,,,N
2019-11-01,149,"59,618",Katy Perry,Never Really Over,,,N
2019-11-01,150,"59,517",Tame Impala,It Might Be Time,,,N
2019-11-01,151,"59,379",Post Malone,Rockstar,Feat. 21 Savage,,N
2019-11-01,152,"59,191",James Arthur,Say You Won't Let Go,,,N
2019-11-01,153,"59,109",Jay1,Mocking It,,,N
2019-11-01,154,"59,081",Lil Mosey,Stuck In A Dream,Feat. Gunna,,N
2019-11-01,155,"58,970","Kanye West, Sunday Service Choir",Every Hour,,,N
2019-11-01,156,"58,533",Summer Walker,Come Thru,With Usher,,N
2019-11-01,157,"57,977",Tion Wayne,2 On 2 - Tion Wayne X Jay1,,,N
2019-11-01,158,"57,747",Billie Eilish,When The Party's Over,,,N
2019-11-01,159,"57,647","Kanye West, Ant Clemons",Water,,,N
2019-11-01,160,"57,626",Panic! At The Disco,High Hopes,,,N
2019-11-01,161,"57,546",Toto,Africa,,,N
2019-11-01,162,"57,364",Ed Sheeran,Take Me Back To London,Remix,"[Feat. Stormzy, Jaykae & Aitch]",N
2019-11-01,163,"57,364","Solardo, Eli Brown",Xtc,,,N
2019-11-01,164,"57,064",D-block Europe,Outside,,,N
2019-11-01,165,"56,936",Dave,Disaster,Feat. J Hus,,N
2019-11-01,166,"56,772",Gerry Cinnamon,Sometimes,,,N
2019-11-01,167,"56,580",Whitney Houston,I Wanna Dance With Somebody,Who Loves Me,,N
2019-11-01,168,"56,399",Shawn Mendes,If I Can't Have You,,,N
2019-11-01,169,"56,154",Taylor Swift,You Need To Calm Down,,,N
2019-11-01,170,"55,949",Jay1,4am In Coventry,,,N
2019-11-01,171,"55,938",Lizzo,Juice,,,N
2019-11-01,172,"55,920",Wham!,Last Christmas,,,Y
2019-11-01,173,"55,780",Ed Sheeran,Shape Of You,,,N
2019-11-01,174,"55,221",Tom Walker,Just You And I,,,N
2019-11-01,175,"54,869",Vance Joy,Riptide,,,N
2019-11-01,176,"54,676","Cadet, Deno",Advice,,,N
